Paragraph,Original Text,Summary
1,"Hi, this is Frank Chen. Welcome to the a16z podcast. This episode is part two of a series called ‘What's next for education startups’. It originally aired as a YouTube video, and you can watch all of our YouTube videos at youtube.com/a16z videos.",It is Frank Chen from a16z podcast. This is the part two of ‘What's next for education startups’. You can watch all of our YouTube videos at youtube.com/a16z videos.
2,"Hi, this is Frank Chen, welcome to the a16z network. Very excited today to share a conversation I had with Connie Chan, one of our general partners. Connie is one of the world's experts on trends, especially consumer trends in China and Tech. And today we're going to talk about the future of lifelong learning and she's going to share a few examples of very awesome startups in China. She's super interested in what's happening with Gen Z consumers. She's very interested in real estate and how people are finding homes, preparing their homes to be listed on Airbnb, renting homes, so on and so forth. She's also very inspired by things that entrepreneurs are doing in China that might have applicability here in the United States. She helped us find our investments in Line and Pinterest, and I think you're going to really enjoy this conversation that I had with Connie. I have to tell you a funny story before we get started. So we did not synchronize our sweaters. We've known each other so long. We just knew to come in the same color family. So Connie was my first hire at Andreessen Horowitz. Adam Rifkin introduced us. Adam at one time and may still be the most connected person on LinkedIn and his whole heart and mission is to connect people. So when I told Adam I was looking for the best deal partner ever, he went and found Connie. And I'm so thrilled that you've been here for so long and now are a general partner looking to make investments. So welcome.","Today we're going to talk about the future of lifelong learning with Connie Chan, who is one of the world's experts on trends, especially consumer trends in China and Tech. She's very interested in real estate and how people are finding homes, preparing their homes to be listed on Airbnb, renting homes, and also she is very inspired by the things that entrepreneurs are doing in China that might have applicability here in the United States. Connie is one of our general partners looking to make investments. So welcome."
3,Thank you. Thank you.,Thank you so much.
4,"So today we're going to continue our series in education and talk a little bit about ongoing education and we're so excited about the things that we can do as adults to continue to learn new things and for those of you that know me, like learning a new thing is my favorite thing in life. So I'm so excited about this episode. So Connie, why don't you set the context and let's talk a little bit about the things that are working, especially in China and I thought maybe it'd be good to just anchor on how much money and how many users people spend on adult education because this is very surprising.","In this episode of our education series, we are going to talk about ongoing education and the things that we can do as adults to continue to learn new things. So Connie, let's talk a little bit about the things that are working, especially in China, how much money and how many people spend on adult education."
5,"Yeah. I think about education and learning in a way that goes well beyond K through 12. So I'm actually hyper focused on education for adults, people once they have graduated college. How can they use online education for self improvement for example, and if you look at the dollars abroad, I do a lot of studying what's working in China and working in Asia to give me inspiration for ideas here in the States. That's a massive market in Asia, it's massive in China. And I think it's because China has developed all these online education platforms that are specifically made for mobile, that unlock all these other new features and benefits. And in terms of how big it is, my research says that right now online education in China has 150 million users, and expected to grow to nearly 300 million by the year 2020. It's a $40 billion industry, expected to grow to $70 billion. Of course, this is a very broad categorization of what counts as education. But what's interesting is the way that these research reports break it up. The largest group is not K through 12. It's not even college students, the largest groups of students who want to do self improvement and online education, they are 26 to 35.","So I think about education and learning in a way that starts from birth and goes through our life and, really focuses on how we can use different technologies for self-improvement. My studies what's working in China and Asia gives me inspiration for ideas here in the States. Actually it’s a massive market there. Online education in China has 150 million users, and expected to grow to nearly 300 million by the year 2020. It's a $40 billion industry, expected to grow to $70 billion. The interesting thing that my research reports me is that the largest groups of students who want to do self-improvement and online education, they are 26 to 35. Not even college students."
6,"That's super interesting. So you would expect sort of the Asian cultures that the parents sending their students to, you know, after school enrichment programs, and so you think that's where all the money is going, but you're saying, look, it's after they graduate college.","It’s interesting. So, you are saying that after they graduate from college, students from Asian cultures are more likely to enrol in enrichment programs, that’s where there parents invents money right?"
7,"Right, right. And I think that's because if you take the word education and you expand it just to self improvement, self learning, then it greatly increases the demographic that you can address. And yes, a lot of people will just say China education. It's huge, because parents spend so much money, on tutoring, and so forth, because of the way the college system works. But most of that money is actually going through post-college graduates.","Yes it is, because they take the education to self-improvement and self-learning, And yes lot of people for example in China, parents spend money on education, especially through post college graduates."
8,"It's really interesting, because in China, what's already happening is what we sort of expect to happen here. Which is today, we have this system where sort of you go through K through 12. And then a subset of those people go to college and then basically at age 22, you're done. There's no more formal education and now it's basically the workplaces job to train you, right? They'll send you to classes and so on, and we know that's going to change we know that the world is so dynamic now, that you can't learn everything that you need to be a productive worker or citizen by age 22. You're going to have to learn ongoing - this is sort of a big part of our investment thesis behind Udacity.","Yeah, so in China, you're seeing people do not stop their education typically in age 22, because they realize that they need to keep learning in order to stay competitive in the workforce."
9,"And there's a bunch of courses that a college curriculum will likely never include, like how to conduct ourselves at a meaning, how to speak publicly. Right. How to how to like train your kid - that counts as education, parenting courses that counts as education, you’ll never cover that stuff in college.","There's also a lot of vocational training that you can't get in college such as how to conduct ourselves at a meaning, public speaking skills. Those are also the education."
10,"Yeah. And in addition to sort of the Evergreen stuff that you mentioned, like, you know, everybody needs to be a good public speaker. Everybody needs to know how to be. There's also sort of topical things that emerge as marketplaces emerge. So I'm thinking about the Taobao sellers, right? So Taobao was like eBay here. And what happened in Taobao was there were sellers who were experimenting with the system, and they kind of figured out what was working for them. And they would share online and in videos and Taobao saw this happening, and they're like, oh, let's actually get behind this and push right, let's set up Taobao University, where we can take our very best sellers and actually have them make money from their content, not just their markets.","And so what you see in a lot of these marketplaces is that the people who are the best at it, the people who are the most successful, are the ones who are sharing their knowledge. And so it's not just about, you know, being a good public speaker or being a good marketer right?"
